study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
31,Yang et al. 2021 Phase 2,NCT04466085,ZF2001,Protein subunit,ug,25,"Chongqing & Beijing, China",Day 0/30/60,Live SARS-CoV-2 virus,MNT 50,51.2,38.3,70.5,89,50,2,18-59,adult,67,prime,18,GMT/CI,117.8,64.6,214.9,"Figure 2D, Results",2.07114529,1.709269961,0.564968106,0.637733137,0.13316426,0.067599577,0.361875329,2.30078125,0.555825669,0.09466781,0.098555806,0.625422343
31,Yang et al. 2021 Phase 2,NCT04466085,ZF2001,Protein subunit,ug,25,"Xiangtan, Hunan Province, China",Day 0/30/60,Live SARS-CoV-2 virus,MNT 50,51.2,38.3,70.5,89,25,1,18-59,adult,74,prime,150,GMT/CI,102.5,81.8,128.5,"Figure 2H, Results",2.010723865,1.709269961,0.612840538,0.637733137,0.05003822,0.067599577,0.301453904,2.001953125,0.611319585,0.035679332,0.202056583,0.396561954
33,Keech et al. 2020,NCT04368988,NVX-CoV2373,Protein subunit,ug,5 + Matrix-M1,"Queensland & Melbourne, Australia",Day 0/21,Live SARS-CoV-2 virus,MNT 50,983.8,579.4,1670.5,32,5 + Matrix-M1,1,18-59,adult,35,prime,29,GMT/CI,3906.3,2555.9,5970,Table S11,3.591765594,2.992906818,0.506137454,0.663624028,0.093987366,0.117313263,0.598858775,3.970624111,0.502507628,0.068173194,0.41868863,0.780772105
33,Keech et al. 2020,NCT04368988,NVX-CoV2373,Protein subunit,ug,5 + Matrix-M1,"Queensland & Melbourne, Australia",Day 0/21,Live SARS-CoV-2 virus,MNT 50,983.8,579.4,1670.5,32,25 + Matrix-M1,5,18-59,adult,35,prime,27,GMT/CI,3305,2205.3,4953.2,Table S11,3.519171464,2.992906818,0.465822057,0.663624028,0.089647497,0.117313263,0.526264646,3.359422647,0.462200884,0.062540074,0.346603489,0.69990856
35,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 + CpG-1018 and alum,"Perth, Australia",Day 0/21,Wild-type Live SARS-CoV-2 virus,MNT 50,640,NA,NA,20,3 + CpG/alum,0.1,18-54,adult,35,prime,24,GMT/CI,95,NA,NA,Figure 3,1.977723605,2.806179974,0.441705608,NA,0.09016278,NA,-0.828456369,0.1484375,0.436127015,0.067721093,-1.0057393,-0.656086429
35,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 + CpG-1018 and alum,"Perth, Australia",Day 0/21,Wild-type Live SARS-CoV-2 virus,MNT 50,640,NA,NA,20,3 + CpG/alum,0.1,55-75,elderly,35,prime,24,GMT/CI,32,NA,NA,Figure 3,1.505149978,2.806179974,0.441705608,NA,0.09016278,NA,-1.301029996,0.05,0.435333744,0.063858289,-1.477177538,-1.12156701
35,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 + CpG-1018 and alum,"Perth, Australia",Day 0/21,Wild-type Live SARS-CoV-2 virus,MNT 50,640,NA,NA,20,9 + CpG/alum,0.3,18-54,adult,35,prime,24,GMT/CI,167,NA,NA,Figure 3,2.222716471,2.806179974,0.441705608,NA,0.09016278,NA,-0.583463503,0.2609375,0.436318585,0.065767343,-0.766994182,-0.40633599
35,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 + CpG-1018 and alum,"Perth, Australia",Day 0/21,Wild-type Live SARS-CoV-2 virus,MNT 50,640,NA,NA,20,9 + CpG/alum,0.3,55-75,elderly,35,prime,24,GMT/CI,72,NA,NA,Figure 3,1.857332496,2.806179974,0.441705608,NA,0.09016278,NA,-0.948847478,0.1125,0.437229248,0.063996208,-1.12434417,-0.7744315
35,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 + CpG-1018 and alum,"Perth, Australia",Day 0/21,Wild-type Live SARS-CoV-2 virus,MNT 50,640,NA,NA,20,30 + CpG/alum,1,18-54,adult,35,prime,24,GMT/CI,609,NA,NA,Figure 3,2.784617293,2.806179974,0.441705608,NA,0.09016278,NA,-0.021562681,0.9515625,0.434553619,0.06411372,-0.190947579,0.147258882
35,Richmond et al. 2021,NCT04405908,SCB-2019,Protein subunit,ug,30 + CpG-1018 and alum,"Perth, Australia",Day 0/21,Wild-type Live SARS-CoV-2 virus,MNT 50,640,NA,NA,20,30 + CpG/alum,1,55-75,elderly,35,prime,24,GMT/CI,84,NA,NA,Figure 3,1.924279286,2.806179974,0.441705608,NA,0.09016278,NA,-0.881900688,0.13125,0.440360899,0.064509768,-1.056656705,-0.706109944
