study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
13,Ella et al. 2021,NCT04471519,BBV152,Inactivated vaccine,ug,6 + Algel-IMDG,India,Day 0/14,SARS-CoV-2 wild-type,microneutralisation assay (MNT50),62.31,40.77,95.22,41,"3 ¦Ìg, Algel-IMDG",0.5,18-55,adult,28,prime,99,GMT/CI,61.7,49.5,76.9,Table S4,1.790285164,1.794557751,0.485617683,0.601742528,0.048806413,0.093976394,-0.004272587,0.990210239,0.483954187,0.035221528,-0.099598595,0.093538263
13,Ella et al. 2021,NCT04471519,BBV152,Inactivated vaccine,ug,6 + Algel-IMDG,India,Day 0/14,SARS-CoV-2 wild-type,microneutralisation assay (MNT50),62.31,40.77,95.22,41,"6 ¦Ìg, Algel-IMDG",1,18-55,adult,28,prime,99,GMT/CI,66.4,53.4,82.4,Table S4,1.822168079,1.794557751,0.478167495,0.601742528,0.048057641,0.093976394,0.027610328,1.065639544,0.475908963,0.033826579,-0.068186146,0.125114862
27,Pan et al. 2021 Phase 1,ChiCTR2000038804,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,49.7,33.3,74.3,35,5,1,18-59,adult,28,prime,23,GMT/CI,30.9,20.6,46.4,Table 3,1.489958479,1.696356389,0.431442253,0.526024884,0.089961929,0.088914434,-0.206397909,0.621730382,0.423643278,0.06362122,-0.380179249,-0.030686305
27,Pan et al. 2021 Phase 2,ChiCTR2000039462,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,49.7,33.3,74.3,35,5,1,18-59,adult,28,prime,100,GMT/CI,41.5,32.8,52.5,Table 3,1.618048097,1.696356389,0.521136377,0.526024884,0.052113638,0.088914434,-0.078308292,0.83501006,0.520103154,0.036925358,-0.179460167,0.021426742
27,Pan et al. 2021 Phase 2,ChiCTR2000039462,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,49.7,33.3,74.3,35,10,2,18-59,adult,28,prime,98,GMT/CI,48.3,37.5,62.1,Table 3,1.683947131,1.696356389,0.553210881,0.526024884,0.055882738,0.088914434,-0.012409258,0.971830986,0.550905314,0.039610411,-0.122242338,0.099678519
27,Pan et al. 2021 Phase 1,ChiCTR2000038804,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,49.7,33.3,74.3,35,10,2,18-59,adult,42,prime,24,GMT/CI,49.1,33.5,72,Table 3,1.691081492,1.696356389,0.415273106,0.526024884,0.084767268,0.088914434,-0.005274897,0.987927565,0.408886231,0.060440577,-0.164116582,0.162827594
27,Pan et al. 2021 Phase 2,ChiCTR2000039462,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,49.7,33.3,74.3,35,5,1,18-59,adult,56,prime,98,GMT/CI,131.7,109.3,158.6,Table 3,2.119585775,1.696356389,0.408311288,0.526024884,0.041245669,0.088914434,0.423229386,2.649899396,0.408211058,0.029231852,0.344154877,0.499665784
27,Pan et al. 2021 Phase 2,ChiCTR2000039462,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,49.7,33.3,74.3,35,10,2,18-59,adult,56,prime,99,GMT/CI,110.7,94.7,129.4,Table 3,2.044147621,1.696356389,0.344144573,0.526024884,0.034587831,0.088914434,0.347791232,2.227364185,0.344722629,0.024114294,0.279775503,0.416749357
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,2,0.5,3-May,children,56,prime,83,GMT/CI,105.3,90.9,122,Appendix 16,2.022428371,2.29666519,0.297009309,NA,0.032601007,0.051841405,-0.274236819,0.531818182,0.296012955,0.022905452,-0.340774727,-0.208939998
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,2,0.5,6-Dec,children,56,prime,84,GMT/CI,84.1,72.6,97.3,Appendix 20,1.924795996,2.29666519,0.297344211,NA,0.032442913,0.051841405,-0.371869194,0.424747475,0.296221932,0.023623371,-0.435940738,-0.308647388
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,2,0.5,13-17,children,56,prime,84,GMT/CI,88,77.9,99.5,Appendix 24,1.944482672,2.29666519,0.248500976,NA,0.027113679,0.051841405,-0.352182518,0.444444444,0.247628899,0.019354515,-0.403558739,-0.300823706
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,4,1,3-May,children,56,prime,84,GMT/CI,180.2,163.7,198.5,Appendix 16,2.255754787,2.29666519,0.19572235,NA,0.021355059,0.051841405,-0.040910404,0.91010101,0.194994134,0.014744327,-0.082726528,0.000969682
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,4,1,6-Dec,children,56,prime,84,GMT/CI,168.6,152,187.1,Appendix 20,2.22685757,2.29666519,0.210962612,NA,0.023017908,0.051841405,-0.06980762,0.851515152,0.210246553,0.016380655,-0.114451933,-0.025298273
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,4,1,13-17,children,56,prime,84,GMT/CI,155.7,137.4,176.5,Appendix 24,2.192288613,2.29666519,0.25428146,NA,0.027744382,0.051841405,-0.104376578,0.786363636,0.25320577,0.019729794,-0.159600455,-0.048877917
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,8,2,3-May,children,56,prime,84,GMT/CI,171,155.8,187.6,Appendix 16,2.23299611,2.29666519,0.188599598,NA,0.020577903,0.051841405,-0.06366908,0.863636364,0.188241242,0.014539623,-0.103199545,-0.023875963
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,8,2,6-Dec,children,56,prime,84,GMT/CI,162.8,145.6,182,Appendix 20,2.211654401,2.29666519,0.226580342,NA,0.024721942,0.051841405,-0.08501079,0.822222222,0.226551181,0.017852384,-0.133154813,-0.036373572
30,Xia et al. 2021,ChiCTR2000032459,BBIBP-CorV,Inactivated vaccine,ug,4,"Shangqiu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,198,156.7,250.2,NA,8,2,13-17,children,56,prime,84,GMT/CI,148,132,165.9,Appendix 24,2.170261715,2.29666519,0.232103846,NA,0.025324606,0.051841405,-0.126403475,0.747474747,0.231056406,0.018100705,-0.175717159,-0.075747015
36,Liu et al. 2021,ChiCTR2000039462,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,49.7,NA,NA,NA,5,1,18-59,adult,56,prime,97,GMT/CI,101.8,83.7,123.7,Table 3,2.007747778,1.696356389,0.426225003,NA,0.043276592,NA,0.311391389,2.048289738,0.425577975,0.030668328,0.226374852,0.39594909
36,Liu et al. 2021,ChiCTR2000039462,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,49.7,NA,NA,NA,5,1,>=60,elderly,56,prime,92,GMT/CI,27.6,22.5,33.9,Table 3,1.440909082,1.696356389,0.435581839,NA,0.045412546,NA,-0.255447307,0.555331992,0.435375087,0.032901261,-0.343596854,-0.166529991
36,Liu et al. 2021,ChiCTR2000039462,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,49.7,NA,NA,NA,10,2,18-59,adult,56,prime,99,GMT/CI,119,102.3,138.6,Table 3,2.075546961,1.696356389,0.334761484,NA,0.033644795,NA,0.379190573,2.394366197,0.333338258,0.023393911,0.313772666,0.443780585
36,Liu et al. 2021,ChiCTR2000039462,KCONVAC,Inactivated vaccine,ug,5,"Jiangsu, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,MNT 50,49.7,NA,NA,NA,10,2,>=60,elderly,56,prime,94,GMT/CI,26.1,21.5,31.6,Table 3,1.416640507,1.696356389,0.41365703,NA,0.042665465,NA,-0.279715881,0.525150905,0.411581441,0.030003539,-0.36226442,-0.199156776
47,Guo et al. 2021 Phase 1,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,5,1,>=60,elderly,42,prime,24,GMT/CI,71,36,143,Supplementary Table 6,1.851258349,2.33405144,0.748635971,1.196195966,0.152814678,0.169167656,-0.482793092,0.329008341,0.743332974,0.109794773,-0.792273712,-0.175479448
47,Guo et al. 2021 Phase 1,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,10,2,>=60,elderly,42,prime,24,GMT/CI,102,68,152,Supplementary Table 6,2.008600172,2.33405144,0.4365774,1.196195966,0.089115989,0.169167656,-0.325451269,0.47265987,0.433248534,0.065773549,-0.500258414,-0.15137268
47,Guo et al. 2021 Phase 1&2,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan, China",Day 0/14,Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,5,1,18-59,adult,42,prime,84,GMT/CI,39,29,53,Table 3,1.591064607,2.33405144,0.61228325,1.196195966,0.06680558,0.169167656,-0.742986833,0.180722892,0.61097081,0.046423532,-0.875289615,-0.61115079
47,Guo et al. 2021 Phase 1&2,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan, China",Day 0/21,Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,5,1,18-59,adult,49,prime,84,GMT/CI,134,104,174,Table 3,2.127104798,2.33405144,0.522591108,1.196195966,0.057019365,0.169167656,-0.206946642,0.62094532,0.521153878,0.040168351,-0.321307354,-0.095513165
47,Guo et al. 2021 Phase 1,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,2.5,0.5,>=60,elderly,56,prime,24,GMT/CI,90,48,167,Supplementary Table 6,1.954242509,2.33405144,0.676703077,1.196195966,0.138131437,0.169167656,-0.379808931,0.417052827,0.668529451,0.099875126,-0.659716409,-0.101662392
47,Guo et al. 2021 Phase 1&2,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan, China",Day 0/28,Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,5,1,18-59,adult,56,prime,83,GMT/CI,91,71,115,Table 3,1.959041392,2.33405144,0.48675627,1.196195966,0.053428442,0.169167656,-0.375010048,0.421686747,0.484007453,0.038839534,-0.476606428,-0.269571264
50,Pitisuttithum et al. 2022,NCT04764422,NDV-HXP-S,Inactivated vaccine,ug,10,"Bangkok, Thailand",Day 0/28,Pseudotyped virus for wild-type SARS-CoV-2,PsVNA ID50,32,NA,NA,NA,1,0.1,18-59,adult,42,prime,32,GMT/CI,228.81,161.74,323.69,Table 5,2.359475001,1.505149978,0.434815608,NA,0.076865266,NA,0.854325023,7.1503125,0.430885138,0.055608243,0.708362927,1.007762198
50,Pitisuttithum et al. 2022,NCT04764422,NDV-HXP-S + CpG,Inactivated vaccine,ug,10,"Bangkok, Thailand",Day 0/28,Pseudotyped virus for wild-type SARS-CoV-2,PsVNA ID50,32,NA,NA,NA,1 + CpG,0.1,18-59,adult,42,prime,31,GMT/CI,239.47,159.27,360.06,Table 5,2.379251114,1.505149978,0.503145368,NA,0.090367576,NA,0.874101136,7.4834375,0.497661807,0.064450386,0.699234882,1.045147641
50,Pitisuttithum et al. 2022,NCT04764422,NDV-HXP-S,Inactivated vaccine,ug,10,"Bangkok, Thailand",Day 0/28,Pseudotyped virus for wild-type SARS-CoV-2,PsVNA ID50,32,NA,NA,NA,3,0.3,18-59,adult,42,prime,30,GMT/CI,311.76,187.56,518.18,Table 5,2.493820393,1.505149978,0.616663533,NA,0.112586843,NA,0.988670414,9.7425,0.611129359,0.081266737,0.76728981,1.210276879
50,Pitisuttithum et al. 2022,NCT04764422,NDV-HXP-S + CpG,Inactivated vaccine,ug,10,"Bangkok, Thailand",Day 0/28,Pseudotyped virus for wild-type SARS-CoV-2,PsVNA ID50,32,NA,NA,NA,3 + CpG,0.3,18-59,adult,42,prime,33,GMT/CI,482.42,350.08,664.77,Table 5,2.683425304,1.505149978,0.408133755,NA,0.071046967,NA,1.178275326,15.075625,0.40386807,0.05215297,1.033906935,1.31430977
50,Pitisuttithum et al. 2022,NCT04764422,NDV-HXP-S,Inactivated vaccine,ug,10,"Bangkok, Thailand",Day 0/28,Pseudotyped virus for wild-type SARS-CoV-2,PsVNA ID50,32,NA,NA,NA,10,1,18-59,adult,42,prime,34,GMT/CI,887.99,600.72,1312.62,Table 5,2.948408075,1.505149978,0.504952886,NA,0.086598706,NA,1.443258097,27.7496875,0.501220494,0.062913107,1.275086673,1.609178269
