,study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
117,10,Walsh et al. 2020,NCT04368728,BNT162b2,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,30,1,18-55,adult,28,prime,12,GMT/CI,361,238,549,Figure 4B,2.557507202,1.973127854,0.320778803,0.589591045,0.092600864,0.095644297,0.584379348,3.840425532,0.313532939,0.067054645,0.39537705,0.770010581
119,10,Walsh et al. 2020,NCT04368728,BNT162b1,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,10,0.33,18-55,adult,35,prime,12,GMT/CI,180,106,305,Figure 4B,2.255272505,1.973127854,0.405612696,0.589591045,0.1170903,0.095644297,0.282144652,1.914893617,0.398554921,0.08447895,0.060479085,0.513815495
120,10,Walsh et al. 2020,NCT04368728,BNT162b1,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,10,0.33,65-85,elderly,35,prime,12,GMT/CI,33,16,67,Figure 4B,1.51851394,1.973127854,0.549621096,0.589591045,0.158661944,0.095644297,-0.454613914,0.35106383,0.53533251,0.113934833,-0.761929592,-0.14417157
121,10,Walsh et al. 2020,NCT04368728,BNT162b1,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,20,0.67,18-55,adult,35,prime,12,GMT/CI,203,123,334,Figure 4B,2.307496038,1.973127854,0.383385342,0.589591045,0.110673815,0.095644297,0.334368184,2.159574468,0.37317981,0.080582842,0.121318173,0.547537876
123,10,Walsh et al. 2020,NCT04368728,BNT162b1,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,30,1,18-55,adult,35,prime,12,GMT/CI,437,302,633,Figure 4B,2.640481437,1.973127854,0.284018128,0.589591045,0.081988971,0.095644297,0.667353583,4.64893617,0.278303651,0.059804418,0.502526032,0.830684366
124,10,Walsh et al. 2020,NCT04368728,BNT162b1,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,30,1,65-85,elderly,35,prime,12,GMT/CI,105,50,221,Figure 4B,2.021189299,1.973127854,0.570359267,0.589591045,0.164648538,0.095644297,0.048061445,1.117021277,0.562507634,0.118090826,-0.279045565,0.372397262
126,10,Walsh et al. 2020,NCT04368728,BNT162b2,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,10,0.33,65-85,elderly,35,prime,12,GMT/CI,111,81,167,Figure 4B,2.045322979,1.973127854,0.277686143,0.589591045,0.080161085,0.095644297,0.072195125,1.180851064,0.271496745,0.057906329,-0.083551048,0.2297059
130,10,Walsh et al. 2020,NCT04368728,BNT162b2,mRNA,ug,30,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,94,62,147,38,30,1,65-85,elderly,35,prime,12,GMT/CI,206,109,392,Figure 4B,2.31386722,1.973127854,0.491212763,0.589591045,0.14180091,0.095644297,0.340739367,2.191489362,0.480411082,0.102180434,0.071375549,0.618643496
139,14,Chu et al. 2021,NCT04405076,mRNA-1273,mRNA,ug,100,US,Day 0/28,Live SARS-CoV-2 virus,MNT 50,321,235,438,32,50,0.5,18-55,adult,42,prime,78,GMT/CI,1733,1611,1865,Table 3,3.238798563,2.506505032,0.143253179,0.390216514,0.016220229,0.068981186,0.73229353,5.398753894,0.142930038,0.011757179,0.699902542,0.763864975
140,14,Chu et al. 2021,NCT04405076,mRNA-1273,mRNA,ug,100,US,Day 0/28,Live SARS-CoV-2 virus,MNT 50,321,235,438,32,50,0.5,>=55,elderly,42,prime,63,GMT/CI,1827,1722,1938,Table 3,3.261738547,2.506505032,0.103914499,0.390216514,0.013091996,0.068981186,0.755233515,5.691588785,0.103119739,0.009463198,0.729136248,0.780910507
141,14,Chu et al. 2021,NCT04405076,mRNA-1273,mRNA,ug,100,US,Day 0/28,Live SARS-CoV-2 virus,MNT 50,321,235,438,32,100,1,18-55,adult,42,prime,88,GMT/CI,1909,1849,1970,Table 3,3.280805928,2.506505032,0.065879558,0.390216514,0.007022784,0.068981186,0.774300896,5.947040498,0.065533158,0.004906485,0.760491573,0.787989082
142,14,Chu et al. 2021,NCT04405076,mRNA-1273,mRNA,ug,100,US,Day 0/28,Live SARS-CoV-2 virus,MNT 50,321,235,438,32,100,1,>=55,elderly,42,prime,62,GMT/CI,1686,1521,1869,Table 3,3.22685757,2.506505032,0.179736457,0.390216514,0.022826553,0.068981186,0.720352538,5.252336449,0.17883753,0.016557463,0.67500863,0.765797697
159,18,Li et al. 2021,NCT04523571,BNT162b1,mRNA,ug,30,"Jiangsu Province, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,119.9,70.4,204.6,24,10,0.33,18-55,adult,42,prime,24,GMT/CI,232.9,163,359,Figure 2A (95% CI from Bingyi's data),2.367169489,2.078819183,0.428544284,0.579045591,0.087476236,0.118197186,0.288350305,1.942452043,0.423246635,0.063781155,0.11996299,0.455126164
160,18,Li et al. 2021,NCT04523571,BNT162b1,mRNA,ug,30,"Jiangsu Province, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,119.9,70.4,204.6,24,10,0.33,65-85,elderly,42,prime,24,GMT/CI,80,50,131,Figure 2A (95% CI from Bingyi's data),1.903089987,2.078819183,0.522767716,0.579045591,0.106709513,0.118197186,-0.175729196,0.667222686,0.515425889,0.078046041,-0.385542738,0.029411402
161,18,Li et al. 2021,NCT04523571,BNT162b1,mRNA,ug,30,"Jiangsu Province, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,119.9,70.4,204.6,24,30,1,18-55,adult,42,prime,24,GMT/CI,254,185,349,Figure 2A (95% CI from Bingyi's data),2.404833717,2.078819183,0.344495361,0.579045591,0.070319821,0.118197186,0.326014534,2.118432027,0.341244863,0.049992199,0.18853039,0.4685087
162,18,Li et al. 2021,NCT04523571,BNT162b1,mRNA,ug,30,"Jiangsu Province, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,119.9,70.4,204.6,24,30,1,65-85,elderly,42,prime,24,GMT/CI,160,96,263,Figure 2A (95% CI from Bingyi's data),2.204119983,2.078819183,0.5469917,0.579045591,0.111654213,0.118197186,0.1253008,1.334445371,0.540891224,0.07981653,-0.093617176,0.341539536
173,29,Mulligan et al. 2020,NCT04368728,BNT162b1,mRNA,ug,30,US,Day 0/20,Pseudo wild-type virus,Fluorescent neutralization assay,94,60.5,121,38,10,0.33,18-55,adult,34,prime,12,GMT/CI,180,NA,NA,Figure 4B,2.255272505,1.973127854,0.441705608,0.473386102,0.127509426,0.076793366,0.282144652,1.914893617,0.427810334,0.089461233,0.02864831,0.528293376
174,29,Mulligan et al. 2020,NCT04368728,BNT162b1,mRNA,ug,30,US,Day 0/20,Pseudo wild-type virus,Fluorescent neutralization assay,94,60.5,121,38,30,1,18-55,adult,34,prime,12,GMT/CI,437,NA,NA,Figure 4B,2.640481437,1.973127854,0.441705608,0.473386102,0.127509426,0.076793366,0.667353583,4.64893617,0.432385364,0.095595816,0.415191011,0.919728512
195,38,Chen et al. 2022,ChiCTR2000039212,ARCoV,mRNA,ug,15,"Hangzhou, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,71,NA,NA,NA,15,1,18-59,adult,43,prime,20,GMT,145,NA,NA,Figure 2C,2.161368002,1.851258349,0.441705608,NA,0.098768377,NA,0.310109654,2.042253521,0.433579461,0.069185582,0.114661465,0.512406741
196,38,Chen et al. 2022,ChiCTR2000039212,ARCoV,mRNA,ug,15,"Hangzhou, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,71,NA,NA,NA,20,1.33,18-59,adult,43,prime,20,GMT,48,NA,NA,Figure 2C,1.681241237,1.851258349,0.441705608,NA,0.098768377,NA,-0.170017111,0.676056338,0.434826454,0.07073323,-0.363181086,0.020408871
197,38,Chen et al. 2022,ChiCTR2000039212,ARCoV,mRNA,ug,15,"Hangzhou, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,71,NA,NA,NA,25,1.67,18-59,adult,43,prime,20,GMT,52,NA,NA,Figure 2C,1.716003344,1.851258349,0.441705608,NA,0.098768377,NA,-0.135255005,0.732394366,0.437764063,0.071993193,-0.326190342,0.05609356
198,38,Chen et al. 2022,ChiCTR2000039212,ARCoV,mRNA,ug,15,"Hangzhou, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,71,NA,NA,NA,5,0.33,18-59,adult,56,prime,20,GMT,42,NA,NA,Figure 2C,1.62324929,1.851258349,0.441705608,NA,0.098768377,NA,-0.228009058,0.591549296,0.436459316,0.072034343,-0.420682754,-0.029072779
199,38,Chen et al. 2022,ChiCTR2000039212,ARCoV,mRNA,ug,15,"Hangzhou, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,71,NA,NA,NA,10,0.67,18-59,adult,56,prime,20,GMT,78,NA,NA,Figure 2C,1.892094603,1.851258349,0.441705608,NA,0.098768377,NA,0.040836254,1.098591549,0.438921751,0.07067963,-0.147362642,0.225939443
